feature 229379;cg10924875;null
feature 479239;cg03679269;NHSL2
feature 217089;cg25059070;PTPRN2
feature 2;cg12045430;WASH5P
feature 253952;cg23805357;GPR158-AS1
feature 40964;cg03455458;VASH2
feature 16389;cg05957749;KIAA0754
feature 290818;cg04732324;CPT1A
feature 8;cg24335620;null
feature 454669;cg02547263;null
feature 143369;cg00500100;VTRNA1-2
feature 32782;cg11719576;CD1D
feature 352266;cg14204600;TRMT61A
feature 299029;cg18331098;OAF
feature 483345;cg14296882;ATP11C
feature 49177;cg06934572;ASAP2
feature 413727;cg11661236;MGAT5B
feature 303133;cg07303577;TSPAN9
feature 344095;cg08229199;GPR135
feature 180254;cg10291555;HEY2
feature 20509;cg21872908;LEXM
feature 147490;cg18679069;TENM2
feature 53280;cg01460969;STRN
feature 450597;cg18397137;TRIM28
feature 229414;cg21550804;null
feature 323629;cg01686553;null
feature 139307;cg12534150;APC
feature 323631;cg27493010;null
feature 270383;cg07244354;EBF3
feature 258094;cg26904787;RTKN2
feature 221229;cg18339098;XKR6
feature 53294;cg00585253;GPATCH11
feature 331818;cg20618076;ST13P4
feature 380970;cg01146232;SALL1
feature 8242;cg00577560;null
feature 417850;cg25685996;DUS1L
feature 430137;cg08268652;RFX2
feature 303173;cg10824503;TSPAN9
feature 401476;cg24149295;RASL10B
feature 213057;cg04275841;EPHA1
feature 57410;cg09157127;GKN1
feature 352323;cg06955998;KLC1
feature 409664;cg25120513;null
feature 81993;cg15564948;BHLHE40
feature 192587;cg24394414;AP5Z1
feature 139342;cg23463917;REEP5
feature 192588;cg14899164;AP5Z1
feature 389205;cg07728507;null
feature 299094;cg12819548;ARHGEF12
feature 200784;cg01351278;null
feature 323665;cg20055426;null
feature 122967;cg02610222;POU4F2
feature 192601;cg04618897;AP5Z1
feature 151646;cg11235426;DUSP22
feature 92;cg13565718;null
feature 159843;cg25318809;HLA-J
feature 352358;cg00845775;XRCC3
feature 100;cg08546707;null
feature 41063;cg01631319;null
feature 479328;cg24630097;HDAC8
feature 327788;cg25683489;TNFRSF19
feature 286830;cg26330416;null
feature 352363;cg19828748;XRCC3
feature 385130;ch.16.72302375R;null
feature 335989;cg00023464;NAXD
feature 307317;cg21184859;PTHLH
feature 41076;cg10827893;PROX1
feature 479347;cg09966745;PHKA1
feature 270448;cg26015743;null
feature 315504;cg12871652;NAV3
feature 254068;cg27009114;LINC00264
feature 196728;cg01617933;CHN2
feature 172158;cg02629070;null
feature 270458;cg06140859;null
feature 12414;cg00813993;UBXN11
feature 286854;cg16146033;SLC22A8
feature 12421;cg04893145;AIM1L
feature 352387;cg03509898;ZFYVE21
feature 290947;cg18014109;null
feature 323715;cg01615333;null
feature 311437;cg04418091;ATP5G2
feature 458891;cg05297437;GNAS
feature 479368;cg02379437;NAP1L2
feature 172176;cg14732815;null
feature 4242;cg03043665;TP73
feature 352406;cg10126234;ZFYVE21
feature 323728;cg17877704;null
feature 143509;cg07240873;PCDHA6
feature 143514;cg10418237;PCDHA6
feature 245912;cg13917273;null
feature 151705;cg06392169;IRF4
feature 32924;cg07202479;ACKR1
feature 32925;cg18552413;ACKR1
feature 323738;cg15985905;null
feature 352411;cg22934449;ZFYVE21
feature 376998;cg08708790;null
feature 106664;cg02098156;RUBCN
feature 446636;cg15910208;KLK10
feature 196777;cg19286500;null
feature 164018;cg02304584;null
feature 348343;cg15314212;null
feature 12466;cg12221565;null
feature 258224;cg16438646;NRBF2
feature 360630;cg20609493;null
feature 377009;cg00750555;null
feature 323760;cg25282652;null
feature 327856;cg14996583;null
feature 413875;cg11468193;SEPT9
feature 442544;cg11624345;KCNN4
feature 434352;cg18327855;ADGRE5
feature 426161;cg17289222;SBNO2
feature 426174;cg07962882;SBNO2
feature 32953;cg05919685;APCS
feature 344254;cg13169011;null
feature 49339;cg08175271;GRHL1
feature 32958;cg21291134;APCS
feature 393401;cg22173019;SHPK
feature 467141;cg00489795;GUSBP11
feature 221383;cg09528494;null
feature 344257;cg13539545;null
feature 401601;cg26738437;CCL16
feature 28871;cg06216408;null
feature 442574;cg25732462;LYPD5
feature 442572;cg11898486;LYPD5
feature 217289;cg11206084;PTPRN2
feature 8394;cg24070543;EFHD2
feature 323784;cg26682580;TMEM132C
feature 282838;cg14294096;MIR670
feature 467157;cg08088970;ZNF70
feature 393426;cg12950012;CTNS
