feature 478215;cg16273251;PAGE3
feature 39425;cg17928286;null
feature 151555;cg01919999;RACK1
feature 44801;cg06891548;GGPS1
feature 158720;cg08578393;OR10C1
feature 228359;cg13186884;null
feature 304136;cg09832244;LPAR5
feature 248846;cg13628156;PNPLA7
feature 352779;cg13819319;null
feature 137741;cg16298264;MBLAC2
feature 411668;cg25753722;null
feature 406035;cg19398748;PLEKHM1
feature 429072;cg10223982;TMIGD2
feature 409104;cg11970806;VEZF1
feature 369170;cg25731553;null
feature 81430;cg23217153;null
feature 54551;cg02863169;null
feature 224794;cg10709021;PURG
feature 164376;cg10158997;VWA7
feature 12830;cg07022953;null
feature 460824;cg03513312;UCKL1
feature 481062;cg02010442;ATG4A
feature 366883;cg24871165;null
feature 310563;cg06611426;GRASP
feature 429613;cg24214903;KDM4B
feature 331818;cg20618076;ST13P4
feature 115502;cg02196651;LNX1
feature 181554;cg22791936;SLC35D3
feature 299829;cg24174996;OR8B4
feature 74547;cg05890855;null
feature 88117;cg13721644;PTPN23
feature 292400;cg24313592;CLPB
feature 387121;cg09798202;null
feature 109622;cg04641962;RGS12
feature 26424;cg19269039;DENND2D
feature 316222;cg01511234;null
feature 36160;cg21363811;FAM163A
feature 375876;cg08296903;ERCC4
feature 282438;cg19112204;SLC1A2
feature 313409;cg00331508;ARHGEF25
feature 57159;cg25302172;null
feature 328270;cg15233380;SHISA2
feature 301647;cg02993944;OPCML
feature 189262;cg07131210;CYP2W1
feature 312649;cg18956558;RNF41
feature 473673;cg13092901;TYMP
feature 236371;cg19788371;null
feature 337495;cg12394800;ATP11A
feature 150612;cg01981048;null
feature 100185;cg12892506;ZIC4
feature 418398;cg16060163;null
feature 183896;cg10743291;CLDN20
feature 66401;cg00205436;null
feature 257122;cg06300254;CHAT
feature 92000;cg24879560;MAGI1
feature 41826;cg08923271;null
feature 136033;cg22771548;ARHGEF28
feature 324963;cg03782130;SFSWAP
feature 71782;cg02420724;COL5A2
feature 363373;cg20765571;HCN4
feature 457066;cg04539957;SLC12A5
feature 374891;cg09790780;RBFOX1
feature 333419;cg23440004;POU4F1
feature 222060;cg15993110;ZDHHC2
feature 184946;cg15363979;SLC22A3
feature 156787;cg02287436;LINC00240
feature 374903;cg10338848;RBFOX1
feature 368241;cg22958047;null
feature 39796;cg15015980;null
feature 43894;cg07364927;GALNT2
feature 474239;cg26382607;WWC3
feature 324991;cg00487848;SFSWAP
feature 386937;cg02687026;FAM92B
feature 136061;cg06647928;null
feature 290692;cg26525861;LRP5
feature 62849;cg00910676;PLGLA
feature 128899;cg07392358;SLC6A3
feature 139905;cg26084796;DMXL1
feature 226176;cg13880167;PLAT
feature 120453;cg10871779;NEUROG2
feature 275585;cg08449144;SYT8
feature 269185;cg02900757;CTBP2
feature 93063;cg20197622;null
feature 370819;cg06723694;SOX8
feature 348290;cg07010028;FOXN3
feature 290947;cg18014109;null
feature 7817;cg15929771;VPS13D
feature 166542;cg16602460;PBX2
feature 238220;cg06029935;null
feature 449417;cg17286383;ZNF667
feature 317334;cg25882682;null
feature 287382;cg04317338;PLCB3
feature 4242;cg03043665;TP73
feature 464021;cg13952914;AGPAT3
feature 192401;cg01541347;FOXK1
feature 413598;cg12472603;MXRA7
feature 403875;cg20992177;NT5C3B
feature 118180;cg24275315;NKX6-1
feature 9125;cg10966582;MST1L
feature 9127;cg04365481;MST1L
feature 92582;cg02336104;FOXP1
