feature 370694;cg09851343;LMF1
feature 253952;cg23805357;GPR158-AS1
feature 198656;cg03316359;HECW1
feature 192517;cg02746514;FOXK1
feature 89098;cg22993195;AMIGO3
feature 113677;cg23705108;null
feature 44048;cg02206259;C1orf198
feature 319509;cg22778180;MAPKAPK5-AS1
feature 411668;cg25753722;null
feature 288785;cg02030452;null
feature 160794;cg08958598;HLA-L
feature 88091;cg06580884;KLHL18
feature 453661;cg22869025;ACSS1
feature 234525;cg14920061;null
feature 415768;cg23464217;RNF213
feature 22561;cg13492103;LHX8
feature 317479;cg23046919;IGF1
feature 334880;cg22489321;null
feature 485423;cg06628792;TTTY14
feature 412717;cg05409276;GRB2
feature 134194;cg16151250;PLPP1
feature 367668;cg06373817;null
feature 316471;cg14375046;null
feature 387121;cg09798202;null
feature 131127;cg06825415;null
feature 293937;cg05447955;GAB2
feature 145474;cg27094166;CSNK1A1
feature 111681;cg05695639;null
feature 154690;cg14024937;null
feature 375876;cg08296903;ERCC4
feature 137280;cg20536432;XRCC4
feature 50242;cg07083806;MYCN
feature 232512;cg07142723;DPYS
feature 270403;cg00329154;EBF3
feature 163914;cg24668093;GPANK1
feature 374861;cg01597629;RBFOX1
feature 372812;cg10275969;ABCA3
feature 192587;cg24394414;AP5Z1
feature 66634;cg17081914;NCKAP5
feature 341065;cg16582779;FOXG1
feature 219215;cg08877269;null
feature 251982;cg19191555;null
feature 272458;cg13727085;null
feature 384084;cg17248540;HAS3
feature 227410;cg21910355;null
feature 283733;cg07008193;CREB3L1
feature 41042;cg00668303;null
feature 399441;cg10334489;KSR1
feature 207963;cg18011364;RELN
feature 192601;cg04618897;AP5Z1
feature 74847;cg14538944;DIRC3
feature 64607;cg13278052;null
feature 352358;cg00845775;XRCC3
feature 453730;cg16721101;ENTPD6
feature 42085;cg12095594;TLR5
feature 324706;cg15922513;ADGRD1
feature 41063;cg01631319;null
feature 274531;cg08918224;CHID1
feature 101481;cg05401764;SHOX2
feature 324719;cg07538372;ADGRD1
feature 374891;cg09790780;RBFOX1
feature 144492;cg04797496;PCDH12
feature 197741;cg21762695;null
feature 69742;cg17737681;DLX1
feature 413815;cg04308797;SEC14L1
feature 413812;cg08890627;SEC14L1
feature 219248;cg16442298;null
feature 247931;cg14119001;INPP5E
feature 22650;cg18376306;RABGGTB
feature 304260;cg08146221;PTMS
feature 135298;cg17229173;null
feature 281734;cg07434271;PAX6
feature 147592;cg01789980;WWC1
feature 74890;cg05386769;TNS1
feature 248973;cg09879186;EHMT1
feature 90255;cg26065870;NISCH
feature 267412;cg17138769;VAX1
feature 371865;cg09534489;IFT140
feature 436378;cg23259813;ELL
feature 261282;cg06710785;NRG3
feature 379044;cg06568038;null
feature 413859;cg17611647;null
feature 219300;cg15186616;DLGAP2
feature 42152;cg25138649;CAPN8
