feature 2;cg12045430;WASH5P
feature 32772;cg24432768;CD1D
feature 16389;cg05957749;KIAA0754
feature 393216;cg14999189;RAP1GAP2
feature 294915;cg07090401;null
feature 212996;cg17922226;CLCN1
feature 8;cg24335620;null
feature 32782;cg11719576;CD1D
feature 16398;cg00790970;MACF1
feature 475157;cg15383633;KLHL34
feature 163860;cg19729369;GPANK1
feature 22;cg03344490;null
feature 49177;cg06934572;ASAP2
feature 393244;cg27622610;OR1G1
feature 163871;cg06473363;GPANK1
feature 49181;cg08844325;ASAP2
feature 163874;cg09314434;GPANK1
feature 147490;cg18679069;TENM2
feature 294950;cg04362211;FAT3
feature 426018;cg02922913;TMEM259
feature 229414;cg21550804;null
feature 327715;cg01282150;SACS
feature 294947;cg11425977;FAT3
feature 245796;cg13707645;PHYHD1
feature 376878;cg05796223;SLC7A5P2
feature 16427;cg12042787;BMP8A
feature 196652;cg26647929;null
feature 114734;cg25939676;SHISA3
feature 213042;cg05586209;ZYX
feature 442420;cg03571548;XRCC1
feature 131127;cg06825415;null
feature 475184;cg23518228;SMPX
feature 311357;cg08802944;PCBP2
feature 409663;cg13421594;null
feature 196665;cg15444947;TRIL
feature 81979;cg17202781;null
feature 393276;cg13561817;OR3A4P
feature 65597;cg04217419;HS6ST1
feature 147517;cg14653988;TENM2
feature 213057;cg04275841;EPHA1
feature 262214;cg26568031;null
feature 131142;cg10979364;null
feature 262208;cg18624900;SLC16A12
feature 147527;cg11091196;TENM2
feature 262209;cg22901008;SLC16A12
feature 327747;cg03625287;null
feature 409664;cg25120513;null
feature 163908;cg18730387;GPANK1
feature 180293;cg14387182;NCOA7
feature 32841;cg02245566;OR6K2
feature 49228;cg07814910;ITGB1BP1
feature 409672;cg19354039;null
feature 49232;cg00024812;ITGB1BP1
feature 81;cg13938959;null
feature 278620;cg12308279;ST5
feature 32870;cg19884600;PYHIN1
feature 327788;cg25683489;TNFRSF19
feature 311405;cg18748332;ATF7
feature 295023;cg18786535;CCDC67
feature 376942;cg05949903;RRN3P1
feature 82026;cg09881545;null
feature 262255;cg06381661;KIF20B
feature 442475;cg23263641;CADM4
feature 262251;cg17001533;KIF20B
feature 393334;cg14487805;TRPV3
feature 295025;cg01923218;CCDC67
feature 180343;cg03558537;null
feature 327794;cg21871050;null
feature 393343;cg11992351;TRPV3
feature 32890;cg00490406;AIM2
feature 196728;cg01617933;CHN2
feature 393341;cg03741619;TRPV3
feature 360571;cg09992746;null
feature 442488;cg25750408;PLAUR
feature 82051;cg21871633;EDEM1
feature 229509;cg23732024;LY96
feature 311437;cg04418091;ATP5G2
feature 65672;cg03064940;null
feature 147592;cg01789980;WWC1
feature 426123;cg04988568;POLR2E
feature 262282;ch.10.1915679F;null
feature 475273;cg17227235;PTCHD1
feature 147602;cg13362794;WWC1
feature 213138;cg06100639;null
feature 409746;cg17520256;APPBP2
feature 180376;cg01043019;RSPO3
feature 32922;cg19260329;ACKR1
feature 245912;cg13917273;null
feature 32923;cg23507131;ACKR1
feature 32925;cg18552413;ACKR1
feature 16542;cg09505836;BMP8B
feature 180380;cg23232563;RSPO3
feature 160;cg05819296;SAMD11
feature 164002;cg25598672;LY6G5C
feature 311461;cg21872608;CALCOCO1
feature 327847;cg16269010;null
feature 376998;cg08708790;null
feature 475299;cg24123780;ACOT9
feature 360621;cg07884222;null
feature 426159;cg24712567;SBNO2
feature 196777;cg19286500;null
feature 164018;cg02304584;null
feature 213171;cg16347377;OR2A7
feature 49329;cg10881225;TAF1B
feature 262325;cg09163779;RPP30
feature 295095;cg03607573;TAF1D
feature 377009;cg00750555;null
feature 311472;cg26113809;null
feature 327856;cg14996583;null
feature 442544;cg11624345;KCNN4
feature 82102;cg19385628;GRM7
feature 426161;cg17289222;SBNO2
feature 180410;cg04064050;ECHDC1
feature 426174;cg07962882;SBNO2
feature 32953;cg05919685;APCS
feature 164027;cg01297670;null
feature 344254;cg13169011;null
feature 49339;cg08175271;GRHL1
feature 344248;cg26248878;C14orf39
feature 32958;cg21291134;APCS
feature 393401;cg22173019;SHPK
feature 32962;cg01365152;CRP
feature 82114;cg00146655;GRM7
feature 344257;cg13539545;null
feature 147652;cg08530041;SLIT3
feature 65737;cg05903289;null
feature 262349;cg19610267;NUDT9P1
feature 442572;cg11898486;LYPD5
feature 262350;cg15433798;NUDT9P1
feature 245960;cg13617225;null
feature 344265;cg08132837;SIX6
feature 409802;cg19457909;BCAS3
feature 377032;cg08139238;EEF2K
feature 344264;cg06808498;SIX6
feature 344277;cg13019491;SIX6
feature 245970;cg01124539;null
feature 164048;cg14780115;ABHD16A
feature 458964;cg12937378;ATP5E
feature 32980;cg04927360;DUSP23
feature 393426;cg12950012;CTNS
feature 311504;cg13604337;null
feature 344273;cg14511698;SIX6
feature 49365;cg17214023;null
feature 98516;cg07356486;null
feature 147669;cg00534479;SLIT3
feature 475359;cg00977690;null
feature 344284;cg11737232;null
feature 393436;cg06470149;CTNS
feature 164062;cg14986464;ABHD16A
feature 49372;cg01354088;KLF11
feature 426203;cg10569027;SBNO2
feature 114910;cg22798201;GABRA4
feature 442585;cg04895616;ZNF283
feature 295140;cg19501941;VSTM5
feature 278757;cg10376408;SCUBE2
feature 426209;cg08438705;SBNO2
feature 229609;cg24164564;null
feature 49389;cg00283742;CYS1
feature 147699;cg08712336;SLIT3
feature 278774;cg12894917;DENND5A
feature 311542;cg20104341;HOXC13
feature 82165;cg09719124;LMCD1
feature 262386;cg10133908;HECTD2
feature 459007;cg17286326;ZNF831
feature 426236;cg23540765;SBNO2
feature 246009;cg14143209;ASB6
feature 82170;cg14455403;LMCD1
feature 147711;cg11855741;SLIT3
feature 311556;cg21707187;null
feature 393474;cg06468454;P2RX5
feature 311555;cg16650901;null
feature 33031;cg04258124;CFAP45
feature 344333;cg00779065;null
feature 442632;cg23339936;ZNF221
feature 33039;cg03685774;CFAP45
feature 409878;cg21389753;TBX2
feature 426262;cg08256018;STK11
feature 377108;cg06098291;null
feature 82196;cg06814944;null
feature 360722;cg21241560;RORA
feature 246043;cg23644854;null
feature 377116;cg20023231;HS3ST2
feature 344348;cg26195829;null
feature 360732;cg14720274;RORA
feature 311582;cg01524278;null
feature 282;cg02397514;HES4
feature 311577;cg02537491;null
feature 164124;cg10189661;LY6G6E
feature 147740;cg09026448;null
feature 262426;cg09775312;PPP1R3C
feature 229667;cg25662926;ZFHX4
feature 409895;cg07482936;C17orf82
feature 229666;cg08322102;ZFHX4
feature 229664;cg10074775;ZFHX4
feature 213284;cg21475065;CNTNAP2
feature 164138;cg19251326;LY6G6C
feature 377135;cg16508627;HS3ST2
feature 229679;cg18794473;ZFHX4
feature 229677;cg02529685;ZFHX4
feature 409897;cg13227105;C17orf82
feature 475447;cg01383599;null
feature 459061;cg11969493;PHACTR3
feature 262448;cg26309356;TNKS2
feature 98616;cg22406518;AMOTL2
feature 262461;cg04828580;null
feature 180542;cg01850783;LAMA2
feature 360760;cg16964728;RORA
