feature 229379;cg10924875;null
feature 32772;cg24432768;CD1D
feature 16389;cg05957749;KIAA0754
feature 294915;cg07090401;null
feature 212996;cg17922226;CLCN1
feature 8;cg24335620;null
feature 16398;cg00790970;MACF1
feature 32782;cg11719576;CD1D
feature 458775;cg03908391;GNAS
feature 475158;cg10607675;KLHL34
feature 475157;cg15383633;KLHL34
feature 163860;cg19729369;GPANK1
feature 49177;cg06934572;ASAP2
feature 393244;cg27622610;OR1G1
feature 311320;cg25186332;SP1
feature 29;cg03348902;null
feature 163871;cg06473363;GPANK1
feature 147490;cg18679069;TENM2
feature 262183;cg15154797;IFIT5
feature 426018;cg02922913;TMEM259
feature 475171;cg21655480;KLHL34
feature 229414;cg21550804;null
feature 245796;cg13707645;PHYHD1
feature 131127;cg06825415;null
feature 475184;cg23518228;SMPX
feature 376882;cg04012618;null
feature 393278;cg20615517;OR3A4P
feature 311357;cg08802944;PCBP2
feature 81979;cg17202781;null
feature 196665;cg15444947;TRIL
feature 393276;cg13561817;OR3A4P
feature 98365;cg15425937;TMEM108
feature 81980;cg18113084;null
feature 147517;cg14653988;TENM2
feature 114753;cg22541001;SHISA3
feature 163904;cg10813233;GPANK1
feature 213057;cg04275841;EPHA1
feature 475204;cg21759095;YY2
feature 262209;cg22901008;SLC16A12
feature 409664;cg25120513;null
feature 180293;cg14387182;NCOA7
feature 81993;cg15564948;BHLHE40
feature 278605;cg08805160;RPL27A
feature 32841;cg02245566;OR6K2
feature 213066;cg19111265;EPHA1
feature 475213;cg09207137;SMS
feature 294991;cg06106126;MTNR1B
feature 147533;cg17567195;TENM2
feature 81;cg13938959;null
feature 278620;cg12308279;ST5
feature 16472;cg12634306;HEYL
feature 82016;cg21545859;null
feature 163936;cg03724949;CSNK2B
feature 100;cg08546707;null
feature 311405;cg18748332;ATF7
feature 327788;cg25683489;TNFRSF19
feature 295023;cg18786535;CCDC67
feature 376942;cg05949903;RRN3P1
feature 82026;cg09881545;null
feature 295025;cg01923218;CCDC67
feature 16503;cg00974095;HPCAL4
feature 32890;cg00490406;AIM2
feature 49274;cg20899781;null
feature 196728;cg01617933;CHN2
feature 360571;cg09992746;null
feature 442488;cg25750408;PLAUR
feature 49284;cg02989351;YWHAQ
feature 295043;cg18076842;SMCO4
feature 311437;cg04418091;ATP5G2
feature 147592;cg01789980;WWC1
feature 213135;cg25136709;TCAF1
feature 262282;ch.10.1915679F;null
feature 147602;cg13362794;WWC1
feature 213138;cg06100639;null
feature 32914;cg01803258;CADM3
feature 32922;cg19260329;ACKR1
feature 245912;cg13917273;null
feature 32923;cg23507131;ACKR1
feature 32924;cg07202479;ACKR1
feature 32925;cg18552413;ACKR1
feature 180380;cg23232563;RSPO3
feature 245917;cg14262955;null
feature 16542;cg09505836;BMP8B
feature 311461;cg21872608;CALCOCO1
feature 327847;cg16269010;null
feature 376998;cg08708790;null
feature 360621;cg07884222;null
feature 426159;cg24712567;SBNO2
feature 196777;cg19286500;null
feature 213171;cg16347377;OR2A7
feature 164018;cg02304584;null
feature 49329;cg10881225;TAF1B
feature 114867;cg02620694;GABRA2
feature 344246;cg18240143;C14orf39
feature 377009;cg00750555;null
feature 311472;cg26113809;null
feature 442544;cg11624345;KCNN4
feature 82102;cg19385628;GRM7
feature 426161;cg17289222;SBNO2
feature 426174;cg07962882;SBNO2
feature 32953;cg05919685;APCS
feature 164027;cg01297670;null
feature 311486;cg03059991;null
feature 344254;cg13169011;null
feature 49339;cg08175271;GRHL1
feature 344248;cg26248878;C14orf39
feature 32958;cg21291134;APCS
feature 393401;cg22173019;SHPK
feature 458950;cg06939920;TUBB1
feature 32962;cg01365152;CRP
feature 82114;cg00146655;GRM7
feature 344257;cg13539545;null
feature 65737;cg05903289;null
feature 442574;cg25732462;LYPD5
feature 442572;cg11898486;LYPD5
feature 262350;cg15433798;NUDT9P1
feature 204;cg16389252;KLHL17
feature 409802;cg19457909;BCAS3
feature 344264;cg06808498;SIX6
feature 344277;cg13019491;SIX6
feature 147667;cg09887953;SLIT3
feature 245970;cg01124539;null
feature 98512;cg05506480;RAB6B
feature 278741;cg21832447;SCUBE2
feature 164048;cg14780115;ABHD16A
feature 344273;cg14511698;SIX6
feature 393426;cg12950012;CTNS
feature 311504;cg13604337;null
feature 49365;cg17214023;null
feature 98516;cg07356486;null
feature 344284;cg11737232;null
feature 393436;cg06470149;CTNS
feature 164062;cg14986464;ABHD16A
feature 426203;cg10569027;SBNO2
feature 442585;cg04895616;ZNF283
feature 114910;cg22798201;GABRA4
feature 295140;cg19501941;VSTM5
feature 230;cg12663811;PLEKHN1
feature 213228;cg07120972;null
feature 147699;cg08712336;SLIT3
feature 82165;cg09719124;LMCD1
feature 33015;cg10839385;VSIG8
feature 426238;cg01980562;SBNO2
feature 459007;cg17286326;ZNF831
feature 82170;cg14455403;LMCD1
feature 147711;cg11855741;SLIT3
feature 311556;cg21707187;null
feature 393474;cg06468454;P2RX5
feature 49413;cg00793280;null
feature 33031;cg04258124;CFAP45
feature 344333;cg00779065;null
feature 229643;cg24041541;ZFHX4-AS1
feature 180488;cg14065008;PTPRK
feature 311566;cg23750445;HOXC12
feature 442632;cg23339936;ZNF221
feature 33039;cg03685774;CFAP45
feature 409878;cg21389753;TBX2
feature 426262;cg08256018;STK11
feature 377108;cg06098291;null
feature 33045;cg05750926;null
feature 82196;cg06814944;null
feature 360722;cg21241560;RORA
feature 246043;cg23644854;null
feature 311582;cg01524278;null
feature 164124;cg10189661;LY6G6E
feature 65825;cg19610253;CCDC74B
feature 229664;cg10074775;ZFHX4
feature 213284;cg21475065;CNTNAP2
feature 377135;cg16508627;HS3ST2
feature 229679;cg18794473;ZFHX4
feature 229677;cg02529685;ZFHX4
feature 475447;cg01383599;null
feature 459061;cg11969493;PHACTR3
feature 180542;cg01850783;LAMA2
feature 360760;cg16964728;RORA
feature 196926;cg08549335;ZNRF2
feature 442689;cg20145365;ZNF284
feature 262477;cg09964326;FGFBP3
feature 98639;cg21413797;null
feature 196940;cg26752613;NOD1
feature 426326;cg27172769;MIDN
feature 360789;cg27280396;RORA
feature 229713;cg16290904;null
feature 65876;cg08566455;null
feature 475472;cg16890879;ARX
feature 131425;cg25623727;FBXL7
feature 409955;cg03969651;TBX4
feature 409952;cg24613083;TBX4
feature 147812;cg22733438;null
feature 213355;cg25042258;CUL1
feature 360;cg07787977;AGRN
feature 365;cg17021880;AGRN
feature 164204;cg09632273;DDAH2
feature 229741;cg09043127;PKIA
feature 180589;cg27437222;ARHGAP18
feature 262507;cg22800233;null
feature 278901;cg03108697;SWAP70
feature 377214;cg07501827;SCNN1B
feature 98685;cg23215600;KY
feature 131455;cg16182986;MARCH11
feature 344453;cg00917373;null
feature 131459;cg17783333;null
feature 442759;cg22755785;ZNF227
feature 295302;cg04552585;null
feature 98693;cg00329270;KY
feature 377216;cg03856411;COG7
feature 246149;cg14405592;null
feature 409985;cg10705030;null
feature 377231;cg27196102;COG7
feature 65933;cg02789441;IMP4
feature 180622;cg18798995;L3MBTL3
feature 115084;cg13323912;SLAIN2
feature 475530;cg10043804;VENTXP1
feature 360852;cg01184271;C2CD4B
feature 459158;cg07198552;CDH4
feature 65943;cg21940081;IMP4
feature 410;cg09792712;AGRN
feature 246168;cg06289583;null
feature 82333;cg14456490;null
feature 33180;cg09152490;ATP1A2
feature 328101;cg10021724;null
feature 459171;cg20250988;CDH4
feature 33189;cg12034297;ATP1A4
feature 147877;cg26513304;KCNIP1
feature 197028;cg01718447;CRHR2
feature 197034;cg08913410;null
feature 393647;cg21809093;ATP2A3
feature 295342;cg14498291;AMOTL1
feature 229805;cg01774159;STMN2
feature 475560;cg15213782;null
feature 65968;cg24068126;null
feature 459190;cg17814028;CDH4
feature 98739;cg05261893;EPHB1
feature 459187;cg10754505;CDH4
feature 49589;cg26096190;null
feature 328120;cg23760687;null
feature 197053;cg26560895;INMT
feature 98750;cg24984506;null
feature 33216;cg13109911;PEA15
feature 311749;cg06714180;HOXC4
feature 16834;cg03017091;RIMS3
feature 459205;cg16928869;CDH4
feature 459202;cg13872307;CDH4
feature 246212;cg13931725;null
feature 295363;cg26123912;null
feature 147909;cg17782848;KCNIP1
feature 278989;cg02175291;null
feature 311758;cg23047434;HOXC4
feature 164302;cg21091985;null
feature 459210;cg01526189;CDH4
feature 377288;cg04454391;NDUFAB1
feature 82382;cg11084334;LHFPL4
feature 360916;cg18931850;null
feature 344532;cg07544451;SNAPC1
feature 328148;cg10944097;null
feature 459221;cg05824387;CDH4
feature 344540;cg18973778;SNAPC1
feature 115165;cg13786807;OCIAD1
feature 262625;cg14689537;HHEX
feature 131563;cg26422488;MYO10
feature 180718;cg21134252;EPB41L2
feature 262632;cg03330490;HHEX
feature 377335;cg00584422;ERN2
feature 66034;cg17177632;AMER3
feature 197110;cg12918460;GHRHR
feature 147960;cg01182310;RANBP17
feature 410108;cg14311523;MRC2
feature 246271;cg14270612;ABL1
feature 328185;cg01147367;MTMR6
feature 66049;cg07794384;AMER3
feature 410119;cg02314166;MRC2
feature 115204;cg14500801;null
feature 295427;cg11378101;ENDOD1
feature 49674;cg21546821;null
feature 377353;cg02469297;CHP2
feature 16914;cg13426079;KCNQ4
feature 197142;cg21619594;ADCYAP1R1
feature 147994;cg25950112;null
feature 377372;cg09108394;PRKCB
feature 164376;cg10158997;VWA7
feature 311839;cg21493516;HOXC4
feature 16923;cg07906262;KCNQ4
feature 147999;cg19861741;null
feature 164383;cg00848392;VWA7
feature 16925;cg23109867;KCNQ4
feature 328218;cg26153234;ATP8A2
feature 262694;cg17743250;CYP26C1
feature 246311;cg13921605;FIBCD1
feature 279072;cg00788156;LYVE1
