feature 0;cg13869341;WASH5P
feature 2;cg12045430;WASH5P
feature 262150;cg07310984;IFIT3
feature 196608;cg09832443;CREB5
feature 458754;cg15631127;GNAS
feature 327683;cg06852037;null
feature 393216;cg14999189;RAP1GAP2
feature 65543;cg18448898;null
feature 7;cg03130891;null
feature 8;cg24335620;null
feature 458762;cg04457481;GNAS
feature 15;cg24159721;null
feature 458775;cg03908391;GNAS
feature 196635;cg02759531;CREB5
feature 393244;cg27622610;OR1G1
feature 27;cg27534567;null
feature 393242;cg23490425;OR1D2
feature 327706;cg18431324;SACS
feature 33;cg15560884;null
feature 327716;cg04691180;SACS
feature 262183;cg15154797;IFIT5
feature 393260;cg05946604;OR1A1
feature 44;cg11954957;null
feature 196652;cg26647929;null
feature 393270;cg06841902;OR3A2
feature 131127;cg06825415;null
feature 65591;cg08472795;HS6ST1
feature 458801;cg21809160;GNAS
feature 54;cg23803172;LINC00115
feature 393278;cg20615517;OR3A4P
feature 393276;cg13561817;OR3A4P
feature 196669;cg24426072;TRIL
feature 131133;cg02556436;null
feature 327751;cg25639084;null
feature 327744;cg26748598;null
feature 65604;cg00221357;HS6ST1
feature 327747;cg03625287;null
feature 78;cg00111697;FAM41C
feature 81;cg13938959;null
feature 327761;cg07040435;TNFRSF19
feature 196706;cg16402875;null
feature 65637;cg20475082;null
feature 65645;cg14947846;null
feature 262250;cg08199893;KIF20B
feature 65646;cg08756898;null
feature 393334;cg14487805;TRPV3
feature 65659;cg10279535;null
feature 196728;cg01617933;CHN2
feature 131199;cg07748253;TRIO
feature 65660;cg27424326;null
feature 196733;cg16539741;CHN2
feature 458887;cg13895966;GNAS
feature 65672;cg03064940;null
feature 458891;cg05297437;GNAS
feature 262282;ch.10.1915679F;null
feature 327819;cg24159934;C1QTNF9B-AS1
feature 262292;cg06416034;null
feature 196753;cg04619381;PRR15
feature 65685;cg20495418;null
feature 149;cg00145911;SAMD11
feature 458911;cg04823921;NELFCD
feature 65691;cg22732770;null
feature 131229;cg26689441;TRIO
feature 327847;cg16269010;null
feature 458916;cg27146036;CTSZ
feature 262304;cg06291867;HTR7
feature 196777;cg19286500;null
feature 196776;cg26070874;null
feature 174;cg22416074;SAMD11
feature 327856;cg14996583;null
feature 181;cg23912452;NOC2L
feature 262328;cg14313238;RPP30
feature 393400;cg18013426;SHPK
feature 393401;cg22173019;SHPK
feature 458950;cg06939920;TUBB1
feature 393409;cg26630069;SHPK
feature 65737;cg05903289;null
feature 262349;cg19610267;NUDT9P1
feature 65736;cg05962382;null
feature 131275;cg04656882;TRIO
feature 262350;cg15433798;NUDT9P1
feature 393421;cg17745562;CTNS
feature 131276;cg02368356;TRIO
feature 131283;cg01560448;TRIO
feature 262355;cg11113644;null
feature 327900;cg11072570;SPATA13
feature 393436;cg06470149;CTNS
feature 196829;cg18046394;WIPF3
feature 196828;cg08605301;WIPF3
feature 327905;cg07430988;SPATA13
feature 196838;cg11251470;SCRN1
feature 230;cg12663811;PLEKHN1
feature 262377;cg17066275;null
feature 262379;cg04285822;null
feature 393463;cg24763869;EMC6
feature 458997;cg04588514;ZNF831
feature 262391;cg22801400;HECTD2-AS1
feature 459007;cg17286326;ZNF831
feature 262397;cg15423315;HECTD2-AS1
feature 459006;cg04068564;ZNF831
feature 196861;cg23492432;FKBP14
feature 254;cg18166741;PERM1
feature 257;cg22599150;PERM1
feature 327942;cg08472727;SPATA13
feature 196871;cg18851071;FKBP14
feature 131334;cg08482307;ANKH
feature 393474;cg06468454;P2RX5
feature 393475;cg10329694;P2RX5
feature 393482;cg24713878;P2RX5
feature 327946;cg04446647;SPATA13
feature 327958;cg22771759;null
feature 282;cg02397514;HES4
feature 196895;cg02389949;MTURN
feature 65820;cg01175497;null
feature 65822;cg16643169;CCDC74B
feature 65825;cg19610253;CCDC74B
feature 196897;cg01541443;MTURN
feature 196910;cg16238026;ZNRF2
feature 131372;cg17749710;null
feature 327988;cg18582260;PARP4
feature 459061;cg11969493;PHACTR3
feature 393523;cg24738036;ITGAE
feature 262461;cg04828580;null
feature 196926;cg08549335;ZNRF2
feature 65856;cg20230419;MZT2B
feature 196941;cg05798501;NOD1
feature 196940;cg26752613;NOD1
feature 131405;cg18373623;FBXL7
feature 459093;cg14157042;FAM217B
feature 65875;cg00366531;null
feature 65876;cg08566455;null
feature 328025;cg24762359;ATP12A
feature 196956;cg11081941;NOD1
feature 131421;cg08792955;FBXL7
feature 131425;cg25623727;FBXL7
feature 262496;cg03676569;BTAF1
feature 131430;cg02519948;FBXL7
feature 360;cg07787977;AGRN
feature 363;cg15574137;AGRN
feature 365;cg17021880;AGRN
feature 262507;cg22800233;null
feature 262519;cg26426690;CPEB3
feature 328051;cg04901121;null
feature 459121;cg03472888;null
feature 196981;cg15277535;null
feature 262515;cg02915225;CPEB3
feature 131455;cg16182986;MARCH11
feature 328058;cg12020676;RNF17
feature 386;cg06819605;AGRN
feature 459149;cg14189988;null
feature 328078;cg13237068;CENPJ
feature 393622;cg08823767;ATP2A3
feature 459158;cg07198552;CDH4
feature 197009;cg19390658;GARS
feature 393618;cg26939365;ATP2A3
feature 405;cg20988802;AGRN
feature 393619;cg08498987;ATP2A3
feature 65943;cg21940081;IMP4
feature 459152;cg14517502;null
feature 459167;cg06707970;CDH4
feature 262559;cg11556122;null
feature 459171;cg20250988;CDH4
feature 197028;cg01718447;CRHR2
feature 262563;cg22579265;null
feature 197034;cg08913410;null
feature 393647;cg21809093;ATP2A3
feature 429;cg08262378;null
feature 459190;cg17814028;CDH4
feature 65968;cg24068126;null
feature 459189;cg06698399;CDH4
feature 131505;cg11954030;MYO10
feature 459187;cg10754505;CDH4
feature 262576;cg22812892;IDE
feature 459185;cg18849279;CDH4
feature 262589;cg18197594;IDE
feature 262591;cg08271400;null
feature 393661;cg25112590;null
feature 328121;cg11280082;null
feature 328120;cg23760687;null
feature 197053;cg26560895;INMT
feature 459193;cg07201996;CDH4
feature 459205;cg16928869;CDH4
feature 393666;cg23445114;null
feature 459202;cg13872307;CDH4
feature 65991;cg13668005;CFC1B
feature 66000;cg08085668;null
feature 459221;cg05824387;CDH4
feature 393682;cg09917783;ZZEF1
feature 393681;cg21734707;ZZEF1
feature 66008;cg19910796;null
feature 393689;cg02574861;ZZEF1
feature 459236;cg03582787;CDH4
feature 66031;cg19256400;AMER3
feature 197100;cg03310518;AQP1
feature 66034;cg17177632;AMER3
feature 66037;cg13010502;AMER3
feature 197110;cg12918460;GHRHR
feature 197109;cg07918174;GHRHR
feature 328189;cg14217684;MTMR6
feature 197114;cg05667838;GHRHR
feature 262655;cg13314863;EXOC6
feature 328185;cg01147367;MTMR6
feature 459257;cg23711059;null
feature 459269;cg23262073;null
feature 197129;cg19317517;ADCYAP1R1
feature 197132;cg18421840;ADCYAP1R1
feature 197142;cg21619594;ADCYAP1R1
feature 197141;cg04879561;ADCYAP1R1
feature 197146;cg22963629;null
feature 262686;cg20033771;EXOC6
feature 66074;cg03750144;null
feature 262694;cg17743250;CYP26C1
feature 262695;cg11234637;CYP26C1
feature 197158;cg04787756;null
feature 197156;cg19981991;null
feature 262700;cg05193369;CYP26C1
feature 262701;cg00790395;CYP26C1
feature 459310;cg27507713;TAF4
feature 393768;cg06366213;UBE2G1
feature 131632;cg07760544;BASP1
feature 197169;cg23016257;NEUROD6
feature 262710;cg14375937;CYP26C1
feature 262718;cg10556384;CYP26C1
feature 459323;cg25071135;TAF4
feature 197183;cg24681654;CCDC129
feature 393784;cg23966329;UBE2G1
feature 66111;cg26820055;ARHGEF4
feature 328257;cg09565111;ATP8A2
feature 131655;cg09529510;null
feature 583;cg15822328;null
feature 584;cg19925558;null
feature 328268;cg05868813;ATP8A2
feature 262735;cg19453618;CYP26A1
feature 328265;cg03107235;ATP8A2
feature 66129;cg16850254;ARHGEF4
feature 328276;cg25553799;SHISA2
feature 393815;cg00163006;SPNS2
feature 197201;cg23950788;PPP1R17
feature 131671;cg04673666;null
feature 328285;cg03099431;SHISA2
feature 393820;cg06618629;SPNS2
feature 459355;cg06096175;LSM14B
feature 197213;cg19763428;PDE1C
feature 393831;cg01774705;MYBBP1A
feature 197223;cg16903225;PDE1C
feature 459374;cg03416888;PSMA7
feature 131689;cg01591240;null
feature 621;cg15688253;null
feature 393841;cg01808912;MYBBP1A
feature 632;cg20544808;null
feature 637;cg20185617;null
feature 393848;cg01984798;GGT6
feature 66174;cg11464160;PLEKHB2
feature 197251;cg18961681;null
feature 641;cg21475076;null
feature 131715;cg15050865;CDH18
feature 197249;cg02959486;null
feature 393857;cg03835038;null
feature 328332;cg17048363;CDK8
feature 131725;cg06781712;CDH18
feature 328341;cg11508437;null
feature 459414;cg20681274;MTG2
feature 393874;cg01339704;SMTNL2
feature 197269;cg02475131;LSM5
feature 262812;cg25314624;CEP55
feature 393884;cg06046819;SMTNL2
feature 262821;cg24249916;FFAR4
feature 66214;cg15633107;null
feature 197291;cg24386135;null
feature 262828;cg13262165;FFAR4
feature 459439;cg15662768;HRH3
feature 262829;cg25497250;FFAR4
feature 66221;cg11957128;WTH3DI
feature 131759;cg15912573;null
feature 66223;cg20873619;null
feature 262836;cg09488203;FFAR4
feature 66229;cg23227259;null
feature 66232;cg07022640;null
feature 698;cg17510786;TTLL10
feature 699;cg05706898;TTLL10
feature 328376;cg25324021;WASF3
feature 459463;cg03699749;OSBPL2
feature 706;cg08886036;TTLL10
feature 262854;cg02444484;PDE6C
feature 66247;cg04128718;NOC2LP2
feature 131787;cg26227411;CDH12
feature 262858;cg19635695;PDE6C
feature 459477;cg08178815;ADRM1
feature 197328;cg06312848;KBTBD2
feature 724;cg06778273;null
feature 328401;cg05173758;GPR12
feature 262865;cg01154537;FRA10AC1
feature 66264;cg00910715;null
feature 730;cg19237691;TNFRSF18
feature 262878;cg03969957;FRA10AC1
feature 734;cg06097659;TNFRSF18
feature 735;cg04343794;TNFRSF18
feature 459493;cg12382846;LAMA5
feature 66280;cg04346410;TUBA3D
feature 745;cg16266669;null
feature 747;cg15924570;null
feature 749;cg25625296;null
feature 197356;cg17786776;FKBP9
feature 66292;cg19982557;MZT2A
feature 459519;cg09831553;LAMA5
feature 328444;cg15702437;USP12
feature 66308;cg03292040;CCDC74A
feature 66310;cg04905635;CCDC74A
feature 131854;cg18071162;null
feature 66321;cg11467141;null
feature 787;cg21837391;SDF4
feature 262929;cg25626012;PIPSL
feature 328467;cg18913687;RPL21
feature 131866;cg25079100;null
feature 66328;cg13687837;null
feature 131864;cg07275221;null
feature 66331;cg01430692;null
feature 328472;cg09363424;SNORA27
feature 262937;cg24553184;PLCE1
feature 798;cg11257497;SDF4
feature 66341;cg09894655;null
feature 262953;cg02649547;PLCE1
feature 814;cg07146103;B3GALT6
feature 328501;cg08008475;null
feature 328497;cg13755630;null
feature 197438;cg17063371;BBS9
feature 328507;cg07305263;GTF3A
feature 459576;cg13890714;RBBP8NL
feature 131906;ch.5.28714848R;null
feature 459588;cg25793191;GATA5
feature 131912;cg19695386;null
feature 131922;cg04832019;null
feature 848;cg19081571;UBE2J2
feature 851;cg10518155;UBE2J2
feature 66390;cg18969312;null
feature 394078;cg25588480;MINK1
feature 328543;cg20785336;null
feature 66401;cg00205436;null
feature 328550;cg11588787;LNX2
feature 131940;cg08657705;null
feature 131946;cg11496061;null
feature 197486;cg24236887;BMPER
feature 197484;cg03533005;BMPER
feature 459638;cg04362560;MIR1-1HG
feature 197489;cg17561435;BMPER
feature 263031;cg04189838;CYP2C19
feature 131957;cg02496256;CDH6
feature 197499;cg21780600;BMPER
feature 459642;cg26379383;MIR1-1HG
feature 394104;cg10553748;CHRNE
feature 197504;cg11611127;BMPER
feature 131975;cg17256192;CDH6
feature 66438;cg14691596;ANKRD30BL
feature 197508;cg00348598;BMPER
feature 328589;cg17352540;GSX1
feature 197514;cg15020132;BMPER
feature 328585;cg02067712;null
feature 197517;cg23759053;BMPER
feature 459656;cg23792592;MIR1-1
feature 66449;cg08729434;null
feature 394135;cg27658640;RNF167
feature 328605;cg20084504;null
feature 197528;cg06418652;null
feature 328602;cg21851351;GSX1
feature 394137;cg04958703;SLC25A11
feature 394155;cg17820591;ENO3
feature 66478;cg23883265;null
feature 132016;cg01573616;null
feature 132027;cg05708512;null
feature 263096;cg03417182;SORBS1
feature 263097;cg06197789;SORBS1
feature 328645;cg19737787;null
feature 197568;cg12959265;DPY19L1
feature 328641;cg10034364;null
feature 263105;cg06282596;SORBS1
feature 328640;cg15992563;null
feature 66505;cg16174348;GPR39
feature 263112;cg11028075;SORBS1
feature 974;cg12609142;CPSF3L
feature 66514;cg07785936;GPR39
feature 394195;cg15100135;INCA1
feature 66519;cg02007217;GPR39
feature 263123;cg16622520;SORBS1
feature 66518;cg18223770;GPR39
feature 328658;cg04633225;PDX1
feature 328668;cg10782668;PDX1
feature 328664;cg22578843;PDX1
feature 328666;cg24983523;PDX1
feature 263142;ch.10.2027377R;ALDH18A1
feature 197611;cg26673012;TBX20
feature 459756;cg00254133;NTSR1
feature 197613;cg24061141;TBX20
feature 66543;cg15833099;GPR39
feature 66542;cg12311815;GPR39
feature 197616;cg12467749;TBX20
feature 1016;cg14911892;TAS1R3
feature 66554;cg17674725;LYPD1
feature 197631;cg22584618;null
feature 394235;cg13758899;ZFP3
feature 197629;cg22309923;null
feature 1023;cg07313814;DVL1
feature 197628;cg22051964;null
feature 459783;cg21407906;MRGBP
feature 66569;cg00937742;LYPD1
feature 1035;cg17748182;DVL1
feature 394248;cg04974290;null
feature 328714;cg09508668;null
feature 197644;cg09626054;null
feature 328727;cg12440549;CDX2
feature 328726;cg26677584;CDX2
feature 394261;cg01120173;ZNF232
feature 66581;cg05012457;NCKAP5
feature 394259;cg05918002;ZNF232
feature 1051;cg11414742;MXRA8
feature 263193;cg03610280;ENTPD1
feature 328728;cg02550231;CDX2
feature 328731;cg01424107;CDX2
feature 328730;cg07213036;CDX2
feature 394279;cg12954718;USP6
feature 459813;cg07827435;COL9A3
feature 132129;cg05710512;null
feature 328737;cg06303875;CDX2
feature 328736;cg07311313;CDX2
feature 394275;cg02114696;ZNF232
feature 394272;cg03784353;ZNF232
feature 328748;cg12938068;null
feature 132137;cg18721397;SUB1
feature 328745;cg03697308;null
feature 1069;cg13354934;null
feature 328757;cg27513935;URAD
feature 328755;cg00160183;null
feature 132153;cg08450554;null
feature 197688;cg01423201;HERPUD2
feature 66628;cg02715592;NCKAP5
